Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Summary
Central and Eastern Winter Storm (January 2018),Winter Storm,20180103,20180105,1324.6,1043,22,"A Nor'easter caused damage across many Northeastern states including MA, NJ, NY, CT, ME, NH, PA, MD, RI, SC, TN, VA, NC and GA."
Northeast Winter Storm (March 2018),Winter Storm,20180301,20180303,2764.5,2194,9,"Powerful Nor'easter impacted many Northeastern states including MD, MA, NH, NJ, NY, PA, CT, DE, RA and VA. Widespread damage resulted from the combination of high winds, heavy snow and heavy coastal erosion."
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,20180318,20180321,1829.5,1452,0,"""A potent severe storm system caused over 20 tornadoes across Alabama and also widespread hail damage from Texas to Florida. Most notably this system produced an EF-3 tornado that caused extensive damage in Jacksonville  Alabama and across the campus of Jacksonville State University."""
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,20180413,20180416,1660.7,1318,3,"""Tornadoes and severe storms with large hail cause widespread damage across many Southern and Eastern states (AR  FL  GA  LA  MD  MI  MS  MO  NJ  NY  NC  PA  SC  TX  VA) over a multi-day period. There were over 70 confirmed tornadoes largely clustered in Louisiana  Mississippi  North Carolina and Virginia. This same system also caused winter storm impacts of high wind and ice accumulation in northeastern states."""
Central and Northeast Severe Weather (May 2018),Severe Storm,20180501,20180504,1751.3,1390,0,"""Numerous central states (KS  NE  OK  TX  NM  MO  IA  IL  IN  OH  WI) were impacted by large hail and tornadoes. Several northeastern states including NY  PA and VT were also impacted by high wind damage from severe storms."""
Central and Eastern Severe Weather (May 2018),Severe Storm,20180513,20180515,1726.2,1370,5,"""	Severe storm damage across many Central states including TX  KS  CO  OK  MO  IL  IN  IA and OH. This was followed by a derecho event across the Northeastern states of MD  NJ  NY  PA  VA  WV  MA and CT that caused widespread high wind damage. Also  there were one dozen tornadoes reported across PA  NY and CT causing further damage."""
Texas Hail Storm (June 2018),Severe Storm,20180606,20180606,1625,1300,0,"""Large-hail impacts highly-populated area of the Dallas-Ft. Worth metroplex. Golfball to baseball-sized hail damages many homes  vehicles and businesses."""
Colorado Hail Storm (June 2018),Severe Storm,20180613,20180613,1193.8,955,0,"""	Hailstorms in Colorado Springs and Pueblo  Colorado cause severe damage to many homes  businesses and vehicles."""
Colorado Hail Storm (June 2018),Severe Storm,20180618,20180619,2778.8,2223,0,"Severe hail storms cause golf ball to baseball-sized hail and widespread damage in many areas from northern Denver to Boulder and Fort Collins. Many homes, businesses and vehicles were impacted. Utah also experienced moderate hail damage."
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,20180719,20180722,1981.6,1585,0,"At least 41 tornadoes and high wind damage from thunderstorms impact numerous Central and Eastern states (MO, IA, IL, IN, KS, KY, AL, AR, GA, TN, NC, SC, VA, MD, PA) over a multi-day event. The tornado damage was most severe across Iowa."
Mountain West Severe Weather (July 2018),Severe Storm,20180726,20180729,1063.8,851,0,"Severe weather including hail, high winds and 19 tornadoes impacted Montana, Wyoming and Colorado. These impacts caused damage to homes, businesses, vehicles and other infrastructure."
Rockies and Plains Hail Storms (August 2018),Severe Storm,20180806,20180807,1281.4,1025,0,"Severe hail impacts from baseball to softball size impacted several states including Colorado, Nebraska and Wyoming. The most costly impacts occurred in numerous locations of eastern Colorado."
